,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,AM1,AM2,AM3,AM4,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
56,2000-09-17,Chelsea,Leicester,0,2,NH,7,4,7,1,1.0,1.83333333333,D,D,D,L,W,W,D,W,5.0,8.0,6.0,DDDL,WWDW,3,10,0,0,0,0,0,0,0,0,0.0,0.5,-0.833333333333,-1.16666666667,-3.0
57,2000-09-17,Man City,Middlesbrough,1,1,NH,9,9,12,9,1.0,0.833333333333,L,W,L,W,L,D,L,D,20.0,12.0,6.0,LWLW,LDLD,6,2,0,0,0,0,0,0,0,0,-0.5,0.0,0.166666666667,0.666666666667,8.0
58,2000-09-17,West Ham,Liverpool,1,1,NH,5,10,9,8,0.333333333333,1.66666666667,L,D,D,L,W,W,D,L,9.0,4.0,6.0,LDDL,WWDL,2,7,0,0,0,0,0,0,0,0,-0.666666666667,0.333333333333,-1.33333333333,-0.833333333333,5.0
59,2000-09-23,Bradford,Southampton,0,1,NH,3,7,8,9,0.833333333333,0.5,D,L,D,W,L,D,D,L,17.0,15.0,6.0,DLDW,LDDL,5,2,0,0,0,0,0,0,0,0,-0.833333333333,-0.333333333333,0.333333333333,0.5,2.0
60,2000-09-23,Coventry,West Ham,0,3,NH,6,6,9,10,1.0,0.428571428571,L,D,L,W,D,L,D,D,14.0,9.0,7.0,LDLW,DLDD,4,3,0,0,0,0,0,0,0,0,-0.428571428571,-0.571428571429,0.571428571429,0.142857142857,5.0
61,2000-09-23,Derby,Leeds,1,1,NH,12,7,14,6,0.571428571429,1.14285714286,L,D,D,D,D,L,D,L,16.0,3.0,7.0,LDDD,DLDL,3,2,0,0,0,0,0,0,0,0,-0.285714285714,0.142857142857,-0.571428571429,0.142857142857,13.0
62,2000-09-23,Ipswich,Arsenal,1,1,NH,7,12,9,8,1.0,1.57142857143,W,L,L,W,W,D,D,W,20.0,2.0,7.0,WLLW,WDDW,6,8,0,0,0,0,0,0,0,0,-0.285714285714,0.571428571429,-0.571428571429,-0.285714285714,18.0
63,2000-09-23,Liverpool,Sunderland,1,1,NH,11,6,9,10,1.57142857143,1.0,D,W,W,D,W,L,D,L,4.0,7.0,7.0,DWWD,WLDL,8,4,0,0,0,0,0,0,0,0,0.285714285714,-0.571428571429,0.571428571429,0.571428571429,-3.0
64,2000-09-23,Man United,Chelsea,3,3,NH,17,7,4,9,2.0,0.857142857143,W,W,W,D,L,D,D,D,1.0,5.0,7.0,WWWD,LDDD,10,3,0,0,0,0,0,0,0,0,1.85714285714,-0.285714285714,1.14285714286,1.0,-4.0
65,2000-09-23,Middlesbrough,Aston Villa,1,1,NH,10,7,10,6,0.857142857143,1.28571428571,D,L,D,L,D,W,W,L,12.0,6.0,7.0,DLDL,DWWL,2,7,0,0,0,0,0,0,0,0,0.0,0.142857142857,-0.428571428571,-0.714285714286,6.0
66,2000-09-23,Newcastle,Charlton,0,1,NH,7,11,6,11,1.42857142857,1.14285714286,L,D,W,W,W,D,D,L,11.0,20.0,7.0,LDWW,WDDL,7,5,0,0,0,0,0,0,0,0,0.142857142857,0.0,0.285714285714,0.285714285714,-9.0
67,2000-09-23,Tottenham,Man City,0,0,NH,8,10,7,13,1.42857142857,1.0,L,W,W,L,D,L,W,L,10.0,20.0,7.0,LWWL,DLWL,6,4,0,0,0,0,0,0,0,0,0.142857142857,-0.428571428571,0.428571428571,0.285714285714,-10.0
68,2000-09-24,Leicester,Everton,1,1,NH,6,10,1,11,2.0,1.0,W,W,W,D,L,W,L,D,8.0,13.0,7.0,WWWD,LWLD,10,4,0,0,0,0,0,0,0,0,0.714285714286,-0.142857142857,1.0,0.857142857143,-5.0
69,2000-09-30,Aston Villa,Derby,4,1,H,7,12,6,14,1.28571428571,0.571428571429,D,W,W,L,L,D,D,D,6.0,16.0,7.0,DWWL,LDDD,7,3,0,0,0,0,0,0,0,0,0.142857142857,-0.285714285714,0.714285714286,0.571428571429,-10.0
70,2000-09-30,Charlton,Coventry,2,2,NH,12,6,11,12,1.375,0.875,W,W,D,D,L,L,D,L,20.0,14.0,8.0,WWDD,LLDL,8,1,0,0,0,0,0,0,0,0,0.125,-0.75,0.5,0.875,6.0
71,2000-09-30,Everton,Ipswich,0,3,NH,11,8,12,10,1.0,1.0,D,L,W,L,D,W,L,L,13.0,20.0,8.0,DLWL,DWLL,4,4,0,0,0,0,0,0,0,0,-0.125,-0.25,0.0,0.0,-7.0
72,2000-09-30,Leeds,Tottenham,4,3,H,11,8,9,7,1.375,1.375,W,D,L,D,D,L,W,W,3.0,10.0,8.0,WDLD,DLWW,5,7,0,0,0,0,0,0,0,0,0.25,0.125,0.0,-0.25,-7.0
73,2000-09-30,Man City,Newcastle,0,1,NH,10,7,13,7,1.0,1.25,D,D,L,W,L,L,D,W,20.0,11.0,8.0,DDLW,LLDW,5,4,0,0,0,0,0,0,0,0,-0.375,0.0,-0.25,0.125,9.0
74,2000-09-30,Southampton,Middlesbrough,1,3,NH,10,11,9,11,1.125,0.875,W,W,L,D,D,D,L,D,15.0,12.0,8.0,WWLD,DDLD,7,3,0,0,0,0,0,0,0,0,0.125,0.0,0.25,0.5,3.0
75,2000-09-30,West Ham,Bradford,1,1,NH,9,3,10,11,0.75,0.625,W,D,L,D,L,L,D,L,9.0,17.0,8.0,WDLD,LLDL,5,1,0,0,0,0,0,0,0,0,-0.125,-1.0,0.125,0.5,-8.0
76,2000-10-01,Arsenal,Man United,1,0,H,13,20,9,7,1.5,1.875,D,W,D,D,D,W,W,W,2.0,1.0,8.0,DWDD,DWWW,6,10,0,0,0,0,1,0,0,0,0.5,1.625,-0.375,-0.5,1.0
77,2000-10-01,Chelsea,Liverpool,3,0,H,10,12,12,10,0.875,1.5,D,L,D,D,D,D,W,W,5.0,4.0,8.0,DLDD,DDWW,3,8,0,0,0,0,0,0,0,0,-0.25,0.25,-0.625,-0.625,1.0
78,2000-10-01,Sunderland,Leicester,0,0,NH,7,7,11,2,1.0,1.875,D,W,L,D,D,W,W,W,7.0,8.0,8.0,DWLD,DWWW,5,10,0,0,0,0,1,0,0,0,-0.5,0.625,-0.875,-0.625,-1.0
79,2000-10-14,Arsenal,Aston Villa,1,0,H,13,11,9,7,1.5,1.5,D,W,D,D,W,D,W,W,2.0,6.0,8.0,DWDD,WDWW,6,10,0,0,0,0,0,0,0,0,0.5,0.5,0.0,-0.5,-4.0
80,2000-10-14,Coventry,Tottenham,2,1,H,8,11,14,11,0.888888888889,1.22222222222,D,L,L,D,L,D,L,W,14.0,10.0,9.0,DLLD,LDLW,2,4,0,0,0,0,0,0,0,0,-0.666666666667,0.0,-0.333333333333,-0.222222222222,4.0
81,2000-10-14,Everton,Southampton,1,1,NH,11,11,15,12,0.888888888889,1.0,L,D,L,W,L,W,W,L,13.0,15.0,9.0,LDLW,LWWL,4,6,0,0,0,0,0,0,0,0,-0.444444444444,-0.111111111111,-0.111111111111,-0.222222222222,-2.0
82,2000-10-14,Ipswich,West Ham,1,1,NH,11,10,10,11,1.22222222222,0.777777777778,W,D,W,L,D,W,D,L,20.0,9.0,9.0,WDWL,DWDL,7,5,0,0,0,0,0,0,0,0,0.111111111111,-0.111111111111,0.444444444444,0.222222222222,11.0
83,2000-10-14,Leeds,Charlton,3,1,H,14,14,10,13,1.55555555556,1.33333333333,W,W,D,L,D,W,W,D,3.0,20.0,9.0,WWDL,DWWD,7,8,0,0,0,0,0,0,0,0,0.444444444444,0.111111111111,0.222222222222,-0.111111111111,-17.0
84,2000-10-14,Leicester,Man United,0,3,NH,7,20,2,8,1.77777777778,1.66666666667,D,D,W,W,L,D,W,W,8.0,1.0,9.0,DDWW,LDWW,8,7,0,0,0,0,0,0,0,0,0.555555555556,1.33333333333,0.111111111111,0.111111111111,7.0
85,2000-10-14,Man City,Bradford,2,0,H,10,4,14,12,0.888888888889,0.666666666667,L,D,D,L,D,L,L,D,20.0,17.0,9.0,LDDL,DLLD,2,2,0,0,0,0,0,0,0,0,-0.444444444444,-0.888888888889,0.222222222222,0.0,3.0
86,2000-10-14,Sunderland,Chelsea,1,0,H,7,13,11,12,1.0,1.11111111111,D,D,W,L,W,D,L,D,7.0,5.0,9.0,DDWL,WDLD,5,5,0,0,0,0,0,0,0,0,-0.444444444444,0.111111111111,-0.111111111111,0.0,2.0
