,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,AM1,AM2,AM3,AM4,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
33,2015-08-29,Liverpool,West Ham,0,3,NH,2,6,0,6,1.75,0.75,D,W,W,M,L,L,W,M,6.0,12.0,4.0,DWWM,LLWM,7,3,0,0,0,0,0,0,0,0,0.5,0.0,1.0,1.0,-6.0
34,2015-08-29,Man City,Watford,2,0,H,8,2,0,2,2.25,0.75,W,W,W,M,D,D,D,M,2.0,20.0,4.0,WWWM,DDDM,9,3,0,0,0,0,0,0,0,0,2.0,0.0,1.5,1.5,-18.0
35,2015-08-29,Newcastle,Arsenal,0,1,NH,2,2,4,3,0.5,1.0,D,L,D,M,D,W,L,M,15.0,3.0,4.0,DLDM,DWLM,2,4,0,0,0,0,0,0,0,0,-0.5,-0.25,-0.5,-0.5,12.0
36,2015-08-29,Stoke,West Brom,0,1,NH,3,2,4,6,0.5,0.25,D,D,L,M,L,D,L,M,9.0,13.0,4.0,DDLM,LDLM,2,1,0,0,0,0,0,0,0,0,-0.25,-1.0,0.25,0.25,-4.0
37,2015-08-29,Tottenham,Everton,0,0,NH,3,5,4,4,0.5,1.0,D,D,L,M,L,W,D,M,5.0,11.0,4.0,DDLM,LWDM,2,4,0,0,0,0,0,0,0,0,-0.25,0.25,-0.5,-0.5,-6.0
38,2015-08-30,Southampton,Norwich,3,0,H,2,5,5,5,0.5,1.0,D,L,D,M,D,W,L,M,7.0,20.0,4.0,DLDM,DWLM,2,4,0,0,0,0,0,0,0,0,-0.75,0.0,-0.5,-0.5,-13.0
39,2015-08-30,Swansea,Man United,2,1,H,5,2,3,0,1.25,1.75,D,W,D,M,D,W,W,M,8.0,4.0,4.0,DWDM,DWWM,5,7,0,0,0,0,0,0,0,0,0.5,0.5,-0.5,-0.5,4.0
40,2015-09-12,Arsenal,Stoke,2,0,H,3,3,3,5,1.4,0.4,W,D,W,L,L,D,D,L,3.0,9.0,5.0,WDWL,LDDL,7,2,0,0,0,0,0,0,0,0,0.0,-0.4,1.0,1.0,-6.0
41,2015-09-12,Crystal Palace,Man City,0,1,NH,8,10,5,0,1.8,2.4,W,W,L,W,W,W,W,W,10.0,2.0,5.0,WWLW,WWWW,9,12,0,0,0,0,1,0,0,0,0.6,2.0,-0.6,-0.6,8.0
42,2015-09-12,Everton,Chelsea,3,1,H,5,6,4,9,1.0,0.8,D,L,W,D,L,W,L,D,11.0,1.0,5.0,DLWD,LWLD,5,4,0,0,0,0,0,0,0,0,0.2,-0.6,0.2,0.2,10.0
