,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,AM1,AM2,AM3,AM4,B365H,BWH,IWH,LBH,WHH,B365D,BWD,IWD,LBD,WHD,B365A,BWA,IWA,LBA,WHA,HomeTeamLP,AwayTeamLP,MW,ENTROPY_B365,ENTROPY_BW,ENTROPY_IW,ENTROPY_LB,ENTROPY_WH,ENTROPY_H,ENTROPY_D,ENTROPY_A,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
35,2006-09-24,Lazio,Atalanta,1,0,H,3,3,4,1,0.75,1.25,W,L,L,M,D,D,W,M,1.7,1.66,1.75,1.66,1.66,3.25,3.3,3.1,3.1,3.1,4.5,5.2,4.5,5.0,5.0,16.0,22.0,4.0,1.0140917977750168,0.9897836843623762,1.0228408578313308,0.9997089618828953,0.9997089618828953,1.6092226785728954,1.609068277546753,1.6076389488356633,WLLM,DDWM,3,5,0,0,0,0,0,0,0,0,-0.25,0.5,-0.5,-0.5,-6.0
36,2006-09-24,Parma,Roma,0,4,A,1,5,4,2,0.25,1.5,L,L,D,M,L,W,W,M,4.0,3.95,4.0,3.75,3.5,3.1,3.15,3.0,3.0,3.1,2.0,1.9,1.9,1.9,1.95,7.0,2.0,4.0,1.0565813584744406,1.0495947954829288,1.0508255944106188,1.056957220705558,1.0646074372472962,1.6080707795865876,1.6092461633397024,1.609229177864989,LLDM,LWWM,1,6,0,0,0,0,0,0,0,0,-0.75,0.75,-1.25,-1.25,5.0
37,2006-09-24,Reggina,Torino,1,1,D,5,2,7,5,0.75,0.25,L,W,L,M,L,L,D,M,2.2,2.2,2.2,2.1,2.2,3.1,2.8,3.0,3.0,3.0,3.4,3.5,3.1,3.2,3.0,13.0,22.0,4.0,1.0800674073662002,1.080772466262455,1.0859553120242538,1.0803472543206822,1.0872841553983514,1.6092615588040438,1.6088693056637993,1.6078173793301076,LWLM,LLDM,3,1,0,0,0,0,0,0,0,0,-0.5,-0.75,0.5,0.5,-9.0
38,2006-09-24,Siena,Cagliari,0,0,D,5,3,5,5,1.5,0.25,W,L,W,M,D,L,L,M,2.05,1.9,1.9,1.83,1.83,3.1,3.0,3.0,3.0,3.0,3.75,4.2,4.0,4.0,4.0,15.0,14.0,4.0,1.0654541023987607,1.0458551656134027,1.0508255944106188,1.0452160229744603,1.0452160229744603,1.6086007665173452,1.6093530257511437,1.6087823275100916,WLWM,DLLM,6,1,0,0,0,0,0,0,0,0,0.0,-0.5,1.25,1.25,1.0
39,2006-09-24,Udinese,Fiorentina,1,0,H,5,3,4,4,1.0,0.75,D,W,L,M,W,L,L,M,2.37,2.35,2.5,2.37,2.5,2.9,2.9,3.0,3.0,2.9,3.2,3.05,2.7,2.75,2.62,11.0,9.0,4.0,1.0905953663816328,1.0919814051195504,1.0958516695324223,1.0937990574033765,1.0967292117222378,1.6090565169939697,1.6093006353262134,1.6065761481050262,DWLM,WLLM,4,3,0,0,0,0,0,0,0,0,0.25,-0.25,0.25,0.25,2.0
40,2006-09-30,Atalanta,Reggina,1,1,D,3,6,2,8,1.0,0.8,L,D,D,W,D,L,W,L,1.9,1.85,1.85,1.83,1.83,3.1,3.1,3.0,3.0,3.0,4.33,4.3,4.2,4.0,4.0,22.0,13.0,5.0,1.0410803947189893,1.0375583313150898,1.0417912012621757,1.0452160229744603,1.0452160229744603,1.609344557209016,1.6093094709555211,1.6088495016058644,LDDW,DLWL,5,4,0,0,0,0,0,0,0,0,0.2,-0.4,0.2,0.2,9.0
41,2006-09-30,Torino,Lazio,0,4,A,3,4,6,4,0.4,1.2,D,L,L,D,W,W,L,L,2.5,2.5,2.4,2.38,2.5,2.87,2.85,2.9,2.88,2.75,3.0,2.9,2.9,2.8,2.75,22.0,16.0,5.0,1.0955213862844557,1.0963566951589083,1.0944786306029157,1.094962498801255,1.097582370270211,1.609189750752542,1.6092617219226582,1.608977047404146,DLLD,WWLL,2,6,0,0,0,0,0,0,0,0,-0.6,0.0,-0.8,-0.8,6.0
42,2006-10-01,Cagliari,Inter,1,1,D,3,9,5,6,0.4,2.0,D,D,L,L,W,W,D,W,6.0,6.0,4.7,5.5,5.5,3.4,3.25,3.4,2.88,3.3,1.61,1.6,1.65,1.67,1.57,14.0,1.0,5.0,0.9608321012423786,0.9634534393902048,0.9989698674488235,0.9930547487528228,0.9698613657692313,1.6052663985201172,1.6074581608470124,1.6091945659881437,DDLL,WWDW,2,10,0,0,0,0,0,0,0,0,-0.4,0.6,-1.6,-1.6,13.0
43,2006-10-01,Chievo,Palermo,0,1,A,5,11,8,9,0.2,1.8,L,L,D,L,L,W,W,W,2.75,2.85,2.6,2.62,2.75,2.87,2.8,3.0,2.88,2.75,2.75,2.55,2.6,2.5,2.5,4.0,5.0,5.0,1.0984115494393454,1.0973980426378167,1.0964129603431838,1.0969088804237312,1.097582370270211,1.6088567095274406,1.6090078624001412,1.6088268136249406,LLDL,LWWW,1,9,0,0,0,0,1,0,0,0,-0.6,0.4,-1.6,-1.6,-1.0
44,2006-10-01,Fiorentina,Catania,3,0,H,3,6,5,7,0.6,1.0,L,W,L,L,D,L,D,W,1.4,1.4,1.4,1.36,1.4,4.0,3.8,3.7,3.75,3.6,9.0,8.0,7.5,8.0,7.5,9.0,22.0,5.0,0.8454714142088148,0.8699800939783096,0.883070203464929,0.8635521976903309,0.8865810994751208,1.6093699103042538,1.6088380083104241,1.6073044714358091,LWLL,DLDW,3,5,0,0,0,0,0,0,0,0,-0.4,-0.2,-0.4,-0.4,-13.0
45,2006-10-01,Messina,Livorno,0,1,A,6,3,3,4,1.6,1.0,D,W,D,W,D,D,W,L,2.3,2.15,2.2,2.2,2.05,2.87,2.8,2.9,2.8,2.87,3.4,3.6,3.2,3.2,3.5,17.0,6.0,5.0,1.085712061603595,1.0767360145716818,1.0854887512090026,1.0862899583827665,1.073626278340121,1.6087329507867727,1.6093353836285451,1.6083179813122757,DWDW,DDWL,8,5,0,0,0,0,0,0,0,0,0.6,-0.2,0.6,0.6,11.0
46,2006-10-01,Milan,Siena,0,0,D,5,5,1,5,2.0,1.4,D,W,W,W,D,W,L,W,1.22,1.2,1.22,1.17,1.22,5.5,5.6,4.8,5.5,5.0,13.0,12.0,11.0,12.0,9.5,3.0,15.0,5.0,0.697006252597175,0.6996495444036548,0.7449167252923606,0.6947208296171061,0.7594141335987037,1.6093021134358878,1.6075188203910655,1.6034798234376513,DWWW,DWLW,10,7,1,0,0,0,0,0,0,0,0.8,0.0,0.6,0.6,-12.0
47,2006-10-01,Roma,Empoli,1,0,H,9,5,2,2,1.8,1.6,W,L,W,W,W,D,D,W,1.36,1.33,1.35,1.33,1.36,4.33,4.5,4.0,3.75,3.75,9.0,8.0,8.0,9.0,8.0,2.0,8.0,5.0,0.8251392467998206,0.8301757495372903,0.8523465420632691,0.8398529256274978,0.8635521976903309,1.6093869479803304,1.6067180896185653,1.6078017841829741,WLWW,WDDW,9,8,0,0,0,0,0,0,0,0,1.4,0.6,0.2,0.2,-6.0
